epoch,accuracy,loss,val_accuracy,val_loss
1,0.4586666524410248,1.9244998693466187,0.5103926062583923,1.6378387212753296
2,0.5162666440010071,1.593746542930603,0.517320990562439,1.5638835430145264
3,0.5354666709899902,1.5220017433166504,0.5334873199462891,1.5230484008789062
4,0.541866660118103,1.4702253341674805,0.5381062626838684,1.5047227144241333
5,0.5504000186920166,1.424882411956787,0.5473440885543823,1.5003795623779297
6,0.5594666600227356,1.3734872341156006,0.542725145816803,1.5011876821517944
7,0.5663999915122986,1.3359265327453613,0.5381062626838684,1.5096571445465088
8,0.5839999914169312,1.2771004438400269,0.5288683772087097,1.5238467454910278
9,0.5861333608627319,1.234665870666504,0.5103926062583923,1.5500357151031494
10,0.6138666868209839,1.1507799625396729,0.519630491733551,1.5741995573043823
11,0.6304000020027161,1.1007877588272095,0.519630491733551,1.609273076057434
12,0.6528000235557556,1.0376075506210327,0.5127021074295044,1.6529548168182373
13,0.6810666918754578,0.9700562357902527,0.5034642219543457,1.6998695135116577
14,0.7232000231742859,0.9137816429138184,0.5034642219543457,1.738418698310852
15,0.7343999743461609,0.8372470140457153,0.494226336479187,1.8113566637039185
16,0.7498666644096375,0.7946979403495789,0.4780600368976593,1.847878098487854
17,0.7669333219528198,0.7396757006645203,0.4780600368976593,1.8984613418579102
18,0.7936000227928162,0.6983891725540161,0.468822181224823,1.9483064413070679
19,0.8144000172615051,0.6313738226890564,0.48267897963523865,2.010338544845581
20,0.8133333325386047,0.6038330793380737,0.45727482438087463,2.036911964416504
21,0.8346666693687439,0.5567750930786133,0.45496535301208496,2.097989320755005
22,0.8399999737739563,0.5315016508102417,0.4595842957496643,2.1416118144989014
23,0.8485333323478699,0.5037609934806824,0.4665127098560333,2.196242332458496
24,0.8741333484649658,0.4494784474372864,0.443418025970459,2.2337710857391357
25,0.8736000061035156,0.43963828682899475,0.4411085546016693,2.2960479259490967
26,0.8880000114440918,0.4057994782924652,0.43648961186408997,2.375804901123047
27,0.8944000005722046,0.36956673860549927,0.4503464102745056,2.439251184463501
28,0.892799973487854,0.3530733585357666,0.43879908323287964,2.4448211193084717
29,0.9039999842643738,0.3312613070011139,0.443418025970459,2.560786247253418
30,0.9082666635513306,0.3245079219341278,0.42263278365135193,2.5360729694366455
