epoch,accuracy,loss,val_accuracy,val_loss
1,0.42453333735466003,1.7027093172073364,0.5288683772087097,1.3975131511688232
2,0.5274666547775269,1.3180351257324219,0.5219399333000183,1.3028894662857056
3,0.5338666439056396,1.2556774616241455,0.5265588760375977,1.290764331817627
4,0.548799991607666,1.2024025917053223,0.5242494344711304,1.2833613157272339
5,0.548799991607666,1.164002776145935,0.5150115489959717,1.2854421138763428
6,0.5781333446502686,1.1307584047317505,0.517320990562439,1.289898157119751
7,0.6106666922569275,1.0703890323638916,0.5103926062583923,1.2997514009475708
8,0.6480000019073486,1.014538288116455,0.49884527921676636,1.3150253295898438
9,0.6672000288963318,0.9521528482437134,0.5034642219543457,1.3418726921081543
10,0.7002666592597961,0.8640605211257935,0.480369508266449,1.3834927082061768
11,0.7066666483879089,0.8052739500999451,0.494226336479187,1.4170303344726562
12,0.7482666373252869,0.7249721884727478,0.487297922372818,1.4831926822662354
13,0.776533305644989,0.6656469106674194,0.48267897963523865,1.5346903800964355
14,0.7898666858673096,0.6268534064292908,0.468822181224823,1.5957958698272705
15,0.8197333216667175,0.5518461465835571,0.4503464102745056,1.6426723003387451
16,0.8341333270072937,0.5042886137962341,0.44572749733924866,1.7200617790222168
17,0.8399999737739563,0.48768702149391174,0.4503464102745056,1.750370979309082
18,0.8682666420936584,0.42078542709350586,0.4595842957496643,1.8365951776504517
19,0.8773333430290222,0.38123124837875366,0.4526558816432953,1.884710669517517
20,0.871999979019165,0.38323935866355896,0.4526558816432953,1.9495570659637451
21,0.8970666527748108,0.3343758285045624,0.45727482438087463,2.0322208404541016
22,0.897599995136261,0.3155760169029236,0.4503464102745056,2.0737502574920654
23,0.9136000275611877,0.29369765520095825,0.44803693890571594,2.153320789337158
24,0.9141333103179932,0.2720654010772705,0.44803693890571594,2.221829652786255
25,0.9344000220298767,0.23442749679088593,0.4526558816432953,2.32625675201416
26,0.9296000003814697,0.23217283189296722,0.44572749733924866,2.369994878768921
27,0.9317333102226257,0.2261795699596405,0.4318706691265106,2.3961973190307617
28,0.9333333373069763,0.2212429791688919,0.4411085546016693,2.4568262100219727
29,0.9397333264350891,0.19474169611930847,0.44572749733924866,2.517780065536499
30,0.9450666904449463,0.17992670834064484,0.43648961186408997,2.547044038772583
