participant_id,Gender_Code,Work_Schedule_Code,Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m,crime_rate_per_1000
0tgsy127veov2tvu460tgsixnb72ahji,1,3,2,3,8,1,2,5,0,1,1,9000009,2000276,7,90.2,360.3959185,81.460788
0u7h5yceye5v7rsbxkyz0u7hr4ak4lgh,2,2,9,2,8,0,2,1,5,2,3,9000003,2000062,2,82.2,572.6834211,71.52628694
0u8jemxcu8zsqp599m6c0u8jem5tm8pu,1,2,5,4,8,0,1,0,2,0,5,9000033,2000967,8,68.3,182.3108158,372.933205
0w0va5l1ey6s897w0yrpm0w0va5l19n4,1,3,4,4,7,2,1,4,4,1,2,9000009,2000257,4,72.4,368.3446037,81.460788
0w2zdu8zui30ve8850w2z3d7bw8nufqy,1,2,8,4,7,0,2,0,2,0,4,9000008,2000198,2,83.5,449.266961,87.80214462
0w53flfh94y1cqv3uo0w53flds752cfj,2,2,5,4,6,2,2,5,3,0,3,9000025,2000720,4,94.7,594.9427249,102.9492058
0wdgc9shuon4b6eyo7l0wdxemf5f85s6,1,8,4,4,5,2,2,9,3,3,1,9000033,2000981,6,89.8,438.8166811,372.933205
0wx2a2xwuucnudgu9h41g0wx2oy4plpn,1,2,9,2,5,2,2,0,5,0,3,9000031,2000916,4,85.3,279.6337094,82.92437534
0x4gohk84b3ed91i61s0x4goh7v094mj,1,2,4,3,8,2,2,5,3,3,3,9000033,2000972,4,38.4,336.0770795,372.933205
0xtdg4sefyow6pnhde30xtdg4sefnmo5,1,2,3,3,8,0,2,0,2,0,4,9000032,2000949,9,81.9,402.637321,75.01260027
10mn2w6z66h91yj3jn2h10mn2wwo2ho8,1,2,6,2,10,1,1,2,3,0,2,9000033,2000963,3,90.6,203.3892295,372.933205
11362tcqhv6swed35m9a11362tc8vocz,1,6,3,2,5,2,1,2,3,1,0,9000022,2000621,5,40.1,248.0655072,107.0192611
11op3je6t3tqlpfy11olfqn26x30taeg,1,2,5,2,6,2,2,9,3,4,0,9000033,2000965,9,87.7,552.1392023,372.933205
125oy83qx9zfn5t7ej93125oy84sxdj7,1,7,2,1,6,1,2,0,2,0,0,9000013,2000389,7,87.4,720.128059,113.5974039
149gjp0b84fvkhasfh1j149gjt0o3lar,2,3,11,1,10,0,2,0,4,0,5,9000027,2000784,9,90.2,489.3046499,59.12433069
14w7vpnznsrvxrmvpxf14w7vpnz64fhi,1,3,5,1,8,1,2,0,3,0,0,9000019,2000567,2,88.5,210.4077596,127.4397297
151cnyyd6q6azxh151cax0bciy34anlp,1,3,5,2,10,0,1,0,1,0,0,9000028,2000827,3,60.8,302.2411379,112.8953553
15b12qq5q3xjunw42sgypxi15b12qqqo,1,2,7,4,5,2,2,0,5,0,5,9000009,2000265,7,82.7,273.3212368,81.460788
15bh9z7syao3vpz4yod715bh95qf4pdi,2,2,9,2,8,2,1,5,6,0,4,9000007,2000171,6,78.8,290.839218,161.7785752
15gd6awmnqnkrfbhbxp15gdqxcpxf5i5,1,5,12,1,7,0,2,0,4,0,3,9000004,2000071,7,95.4,1209.203736,64.46313682
18v275ssu4zudycx18zt6uqbul5janih,1,2,2,2,8,1,1,0,0,0,5,9000003,2000050,8,85.5,402.67,71.52628694
199fyo9g6vss1yidxr199fyorcrcmi5f,1,2,4,1,6,2,1,0,5,1,3,9000023,2000664,2,56.8,273.105102,93.94595065
19h6z7x83en74po4n19h6z7ziytxlv25,2,2,5,1,10,0,1,0,2,0,5,9000022,2000627,4,80.1,485.7477147,107.0192611
19xottmwq1zjli27f19xotybg8dfwva6,1,2,6,1,8,1,2,0,5,0,4,9000015,2000459,5,75,882.731994,61.22939836
1a3pyqo313acp5yvpp4y1a3pyq75csmb,2,2,5,1,8,0,1,0,2,0,5,9000007,2000179,7,55,278.7920197,161.7785752
1aqqd06mjl4tpv3bddxf271aqq9i503a,1,7,7,4,7,2,1,3,4,2,2,9000010,2000279,2,76.8,371.6786089,92.56137265
1bz621uesd1fnxi51bz6218h6kyc1r13,1,2,6,1,9,0,2,0,5,0,1,9000025,2000726,3,55.7,313.6281544,102.9492058
1c5g2c0cg8rhh041c5g2ct49yybdz5qf,2,2,4,3,8,1,1,0,2,0,4,9000033,2000983,3,85.2,213.1330319,372.933205
1d9y37gdyki803sa6pgg1d9y9wvxgha5,1,2,4,1,7,1,1,0,4,0,5,9000024,2000696,4,89.5,243.8631174,64.7356604
1djqdkt9iztgr6t1djqfallt14w5x0a2,1,5,11,3,7,2,2,5,4,0,1,9000017,2000503,9,98,535.9539143,77.02625332
1dy7egp2eb9zpopsr78f221dy7eg427d,1,2,7,4,10,0,2,0,5,1,2,9000003,2000055,7,63.9,337.5618841,71.52628694
1ew7t9fct55u1ccphvsw1ew72q0l0r2g,2,5,13,1,9,0,2,0,4,0,5,9000006,2000165,9,95.2,1245.267534,69.34413948
1flmg9cptdmsav9lr1flmgbn4wdvktoo,1,2,3,4,7,2,2,0,4,2,3,9000008,2000210,7,91.7,315.5258907,87.80214462
1fwhd62sizb02faz1fwhf0g1ne6yam5x,1,2,8,2,8,2,2,2,5,0,3,9000011,2006928,5,29.7,251.602269,96.79696038
1i7vzj9cq9lm6dbtl1i7vzpa9tvheh3p,2,7,5,4,7,2,2,9,2,2,1,9000005,2000109,5,39.5,247.7371591,89.33622132
1ijxknx0vmtn2go1tcg41ijbqh7zgkwt,1,6,1,2,10,0,2,0,0,0,0,9000032,2000955,4,93.6,531.0199417,75.01260027
1jqpszcjxwqof83z41jqpszgd7xtbh15,1,2,3,3,7,2,2,1,6,1,0,9000024,2000695,7,96.4,504.5082864,64.7356604
1kn2emewd2jgqi05n6xzu1kn2em6p34k,1,6,5,1,3,2,0,0,2,3,2,9000005,2000097,5,96.4,221.5735411,89.33622132
1ldcyyheozxalfz21ldcyy95f6h39um0,1,2,3,3,7,1,2,2,2,0,4,9000019,2000555,3,86.5,219.2024218,127.4397297
1lkomyw6fpe6py4uvq1lkomyswesor4z,1,2,8,1,7,0,2,0,5,1,5,9000016,2000477,10,95.2,458.8173711,73.74327005
1m78fzvlbz27m7v59pj1m78f4xnwr6o6,0,6,2,3,7,2,2,4,2,3,0,9000028,2000819,4,69.6,203.7924603,112.8953553
1mxvofyo8akmirad1o21mxvofk8kw121,2,2,2,4,4,2,2,9,2,3,3,9000032,2000957,3,88,566.555378,75.01260027
1nof7onszvhiuuvhcj1nof7onsnmwydv,1,2,2,1,7,1,2,8,2,3,2,9000032,2000959,6,87.1,588.6223879,75.01260027
1nw5w9ol5y385jw1nw5wamhty06xx6oz,1,2,5,3,7,1,2,0,2,0,0,9000024,2000700,3,78.9,321.3111848,64.7356604
1o2fhnol1k6alk50bmxv7p1o2fhn0aws,1,3,4,2,8,1,2,0,5,0,4,9000031,2000903,3,93.4,435.3831402,82.92437534
1p8d672pz4zv1p8frrp3hubm32wkfqht,1,3,1,2,7,2,2,6,6,3,2,9000029,2000844,3,95.4,227.9297297,64.10579525
1pt700x8pn2l8dtscleqdie1pt700lmi,1,3,8,1,10,0,2,0,4,0,0,9000029,2006836,10,93.8,661.5517966,64.10579525
1pxqacwcdrbn5j7d4871px4689zius86,2,2,4,1,7,2,2,0,2,0,3,9000014,2000416,3,68.5,249.6918473,110.3108459
1q6skmlh5kxosi637wj1q6s26f835cgs,1,2,6,4,7,2,2,4,2,2,3,9000022,2000633,2,84.9,238.6198735,107.0192611
1qapn3rt76ths5ii3gk1qapu8e0coq6f,1,2,4,4,7,2,2,3,2,1,3,9000032,2000933,5,86,562.9502549,75.01260027
1rie0r8sui4gliukm2qn1rie0r8mr3xh,2,7,5,2,2,2,0,0,6,1,0,9000031,2000922,3,93.4,205.8874095,82.92437534
1s7shazxgda0c6r1s7shazopugm0o8kq,1,2,3,1,8,0,2,0,5,0,5,9000021,2000606,6,71.4,310.6722033,73.10062573
1s9sdy3cr1zojjr4iijxs1s9sd44895e,1,2,3,1,8,1,2,0,5,0,5,9000012,2000352,3,75.8,208.1437863,121.6670744
1ublphh0s5hadb0bd1ublphhvds7uw64,1,2,7,1,6,2,2,0,2,0,3,9000021,2000605,9,94.7,1148.033598,73.10062573
1ugf33eqvwshey6uy930ku1ugf39roor,1,3,3,2,5,2,2,4,2,2,0,9000028,2000815,2,41.5,100.4428144,112.8953553
1ugh1nqfls2vrztz1ugh1nqyubmn4s34,1,3,3,1,7,2,1,9,1,4,1,9000025,2000744,2,89.4,407.033161,102.9492058
1uql8bv5vlyjdt02sa91uql84a2qirs0,1,2,2,1,8,2,1,0,2,0,4,9000009,2000271,5,88,327.0074148,81.460788
1uyl41ngz27gxm69g1g1uyl41nsr7d0p,1,2,3,3,9,0,2,5,2,5,3,9000021,2000610,6,77.9,703.5278202,73.10062573
1w6ch4tuzoglyjqiyrg1w6ch4f8b2yit,1,5,11,4,6,2,1,3,3,1,1,9000022,2000621,5,40.1,248.0655072,107.0192611
1w6wgtlv9t1mvhio1w6wz2rue9z9fx4z,2,2,4,1,8,1,2,1,2,0,4,9000022,2000619,3,57,129.1527893,107.0192611
1w8zogphp82k1u3vtn1w8zogisau9l89,2,2,5,1,5,1,1,8,2,3,5,9000015,2000453,7,81.5,971.8237914,61.22939836
1wi8bh1bmk0cnp4dl1wi86dhapmlg1sg,1,7,2,4,7,2,1,9,7,6,1,9000011,2000317,3,65.4,359.261419,96.79696038
1xn01470f0s5t6u6ef71xn017vy3drei,1,5,11,4,7,2,2,4,1,1,2,9000032,2000933,9,86,562.9502549,75.01260027
1z5n2m9e2o12w212gct8d1z5n22yjfcv,1,2,9,1,8,2,2,0,1,3,1,9000007,2000167,10,76.6,391.6141045,161.7785752
1zdjqdwpo2kzpjx5gmgu1zdj1x1sbtjb,2,3,4,3,7,1,1,0,6,1,0,9000019,2000575,4,30.6,175.682866,127.4397297
1zig4f9kq3sffrfort1zig4520swx52e,1,2,2,3,7,1,1,0,2,1,5,9000007,2000191,6,41.7,461.1116671,161.7785752
201c3za551dyv0f201c3zrla0ih6o45e,2,3,5,4,9,1,1,0,2,0,4,9000028,2000823,4,70.6,150.3721995,112.8953553
23esat22nlwog9qur23esatkdnzync88,2,2,3,3,5,2,1,1,2,1,3,9000019,2000569,7,72.8,192.1284982,127.4397297
23iwhgmj3pcv18vqfh23iw5y7okglapw,2,8,2,1,3,2,1,9,2,6,1,9000012,2000355,3,90.5,330.4398558,121.6670744
240sc3x9xsfutxxlol240sc3x559d7wy,1,2,3,1,8,1,1,7,2,1,2,9000025,2000719,4,86,285.9620554,102.9492058
24xdoum75tj1hidzep4v24xdoubhjqdu,1,3,10,4,9,0,1,0,3,1,2,9000008,2000210,5,91.7,315.5258907,87.80214462
24ypqhucgigylu8f46a24yp72cip0078,1,2,4,1,7,2,1,0,2,0,3,9000007,2000178,4,83.3,313.4991137,161.7785752
25esbjkra3jsr1iwgp4pt2q25es6zhfq,1,2,10,4,10,2,2,0,2,0,3,9000032,2000924,5,47.8,315.3166819,75.01260027
25yxhn0v6u4bsya25yxhs5njkdsc9ebk,1,3,5,4,7,2,0,8,2,4,2,9000023,2000672,4,78.9,315.2061664,93.94595065
27tm7ucz1e8oequ4kvc27tm7u68ycrkm,1,2,6,1,7,2,1,0,5,0,5,9000031,2000903,3,93.4,435.3831402,82.92437534
28x580txe5ftv1ifwmvd6d28x580txyb,1,2,3,1,4,2,1,0,2,0,3,9000012,2000352,6,75.8,208.1437863,121.6670744
296oncja0uf5ij1yd3bi8l7296onccpv,1,3,6,3,10,0,2,0,2,1,2,9000024,2000691,7,85.6,312.9498369,64.7356604
29nd1ttqko4ck57b8nfx5l29nd1tw1p9,2,7,8,4,8,2,2,6,2,0,0,9000014,2000432,4,92.8,298.0391837,110.3108459
2aldgvgl60fdgq0tn32ald2j7sukk4l5,2,3,10,3,9,2,1,2,2,1,0,9000005,2000094,5,74.5,388.1308043,89.33622132
2bgu9pcihox0hwgz6b2bgu9bug6m0xhz,1,2,4,1,8,1,2,0,5,0,5,9000033,2000972,6,38.4,336.0770795,372.933205
2brdtzmot9m006aufirw2brdhzl46bgp,1,2,4,3,8,1,2,0,2,1,3,9000012,2000351,3,87.6,224.5906916,121.6670744
2bzhqjp36mw5w9skpfr2bzhqjjco3go1,0,6,2,4,8,0,2,0,8,0,0,9000030,2000877,3,68.7,210.6339336,106.554188
2cu4z85yfjaaq1np62cu4z8ed21h1dta,2,2,5,4,7,2,2,8,1,3,3,9000033,2000980,3,48.2,248.3574909,372.933205
2ddnq048ncxquby42ddnq0df0xgvppiz,1,2,2,4,6,2,2,7,5,3,3,9000030,2000872,3,49.3,165.0903549,106.554188
2ehnd105j6lnt2ukl2ehndfx51l830zz,1,9,7,2,4,2,2,3,6,2,1,9000006,2006782,7,91.7,336.1371803,69.34413948
2eobvm6prkjf2bbyo2eobvmi9x4whzo5,1,8,9,2,3,1,2,8,5,3,1,9000029,2000856,10,88,525.2892356,64.10579525
2f2u24mku8s6m1s3k02f2u2glsmpm7li,1,8,10,1,7,1,1,0,3,0,4,9000024,2000711,4,93.9,243.2854096,64.7356604
2ffqcemjv38hn9dymdtax2ffqcemi49r,1,5,12,1,9,0,2,0,4,0,0,9000006,2000165,9,95.2,1245.267534,69.34413948
2g7726osh62rogzo1w3s7d2g7726o32b,2,2,5,1,6,2,2,0,5,0,5,9000022,2000635,6,86.2,238.4656339,107.0192611
2hin77v813w0qhh02hin77v4yh51gy5j,1,4,5,1,8,1,2,0,5,1,5,9000027,2000801,9,87.1,408.6119916,59.12433069
2icq8n21b46w9kumtt86m2icq8jm6vo9,2,3,9,4,3,2,2,3,2,4,2,9000014,2000432,3,92.8,298.0391837,110.3108459
2is9srladwz9c434y9e2is9sr9crr79z,1,2,4,1,7,0,1,1,2,0,5,9000028,2000818,2,77.7,166.8381638,112.8953553
