Model,Train Accuracy,Validation Accuracy,Accuracy Gap,Train Macro F1,Validation Macro F1,Macro F1 Gap
XGBoost,0.9693069306930693,0.6558891454965358,0.3134177851965335,0.9614933695978369,0.40164151649310975,0.5598518531047272
CatBoost,0.7282178217821782,0.6674364896073903,0.06078133217478787,0.5065950926059797,0.3790652718550846,0.12752982075089508
Random Forest,1.0,0.6605080831408776,0.3394919168591224,1.0,0.3658924408924409,0.6341075591075591
Logistic Regression,0.6613861386138614,0.6581986143187067,0.0031875242951546756,0.37017046884765614,0.3519912591074795,0.018179209740176616
