,Mean Class Distance,Exact Classification %,Off By One Class %,Off By Two+ Classes %
Logistic Regression,0.6628175519630485,65.81986143187068,12.471131639722865,21.709006928406467
Random Forest,0.6466512702078522,66.05080831408776,13.163972286374134,20.785219399538107
XGBoost,0.6558891454965358,65.58891454965358,12.471131639722865,21.939953810623557
CatBoost,0.648960739030023,66.74364896073904,12.240184757505773,21.016166281755197
