Model,Train Accuracy,Validation Accuracy,Accuracy Gap,Train Macro F1,Validation Macro F1,Macro F1 Gap
CatBoost,0.6376237623762376,0.5427251732101617,0.09489858916607596,0.5795442202919543,0.38722225162622514,0.19232196866572915
XGBoost,0.7584158415841584,0.5381062355658198,0.2203096060183386,0.7339306474757226,0.38175695121573944,0.3521736962599831
Random Forest,0.7688118811881188,0.5450346420323325,0.2237772391557863,0.750998311024148,0.3649226183133763,0.38607569271077175
Logistic Regression,0.502970297029703,0.48498845265588914,0.017981844373813838,0.4011622137546717,0.3616738528699799,0.03948836088469182
