Model,Baseline Accuracy,Improved Accuracy,Baseline Macro F1,Improved Macro F1,Baseline Balanced Accuracy,Improved Balanced Accuracy,Baseline QWK,Improved QWK,Macro F1 Change
XGBoost,0.5773672055427251,0.5381062355658198,0.3256414413821,0.38175695121573944,0.3460505268107802,0.38591433019772237,0.3807934385750491,0.46447367277719687,0.05611550983363944
CatBoost,0.5889145496535797,0.5427251732101617,0.31972955360052135,0.38722225162622514,0.3432180271172408,0.3961833033738799,0.34089331320735483,0.45605919664110206,0.06749269802570379
Random Forest,0.5981524249422633,0.5450346420323325,0.3072989683309968,0.3649226183133763,0.3422901046387081,0.37595260260401075,0.3911737449269804,0.43290546440032207,0.05762364998237951
Logistic Regression,0.5750577367205543,0.48498845265588914,0.3038161450952148,0.3616738528699799,0.33528722893309515,0.39924624510416645,0.3413373151042882,0.3543301386918378,0.057857707774765066
