,Mean Class Distance,Exact Classification %,Off By One Class %,Off By Two+ Classes %
Logistic Regression,0.7852193995381063,48.49884526558891,29.561200923787528,21.939953810623557
Random Forest,0.651270207852194,54.50346420323326,27.02078521939954,18.475750577367204
XGBoost,0.6304849884526559,53.81062355658198,30.2540415704388,15.935334872979215
CatBoost,0.6351039260969977,54.27251732101617,30.023094688221708,15.704387990762125
