Model,High,Low,Marginal,Very Low
CatBoost,0.7248908296943232,0.4528301886792453,0.21951219512195122,0.1875
Logistic Regression,0.6506550218340611,0.33962264150943394,0.23170731707317074,0.375
Random Forest,0.7379912663755459,0.5188679245283019,0.12195121951219512,0.125
XGBoost,0.7030567685589519,0.4716981132075472,0.24390243902439024,0.125
