epoch,loss,val_loss,accuracy,val_accuracy,precision_weighted,val_precision_weighted,recall_weighted,val_recall_weighted,f1_weighted,val_f1_weighted,f1_macro,val_f1_macro
1,1.2263699769973755,1.0411649942398071,0.5069307088851929,0.6581985950469971,0.5166503009282544,0.6251864665561656,0.6306930693069307,0.6581986143187067,0.5471619081328987,0.5742344306882256,0.31663678433832604,0.35090179675524125
2,1.1198545694351196,0.9661192893981934,0.6183168292045593,0.6558891534805298,0.6159509512076243,0.5111817610500518,0.6460396039603961,0.6558891454965358,0.5772189812964275,0.5745629129685248,0.35702841068343033,0.34418281238174525
3,1.0818758010864258,0.9436862468719482,0.6217821836471558,0.6628175377845764,0.6007510623248673,0.6110337955603544,0.6475247524752475,0.6628175519630485,0.5904499822779895,0.6013064610632596,0.37638844692677675,0.3924885180929673
4,1.0548502206802368,0.9331510663032532,0.6287128925323486,0.6512702107429504,0.626166992915737,0.5855344824088519,0.654950495049505,0.651270207852194,0.6075363199233637,0.5940900197745109,0.40690771805116505,0.38684786915748304
5,1.0565718412399292,0.9285240769386292,0.6257425546646118,0.6489607095718384,0.6271653396233191,0.576689459463539,0.6589108910891089,0.648960739030023,0.6141910501655832,0.5942004854719198,0.41562588712119414,0.3859932865276091
6,1.0277564525604248,0.9254176020622253,0.6396039724349976,0.6512702107429504,0.6352899931829251,0.5925890818206941,0.6599009900990099,0.651270207852194,0.621048516295629,0.6036906103247796,0.4271335973238811,0.4062295236523912
7,1.024336814880371,0.9266648292541504,0.644059419631958,0.6489607095718384,0.639828946232935,0.6014916577714972,0.6658415841584159,0.648960739030023,0.6316089583098107,0.6093946140169654,0.4469508499863216,0.4210683418858111
8,1.0079768896102905,0.9085612297058105,0.6455445289611816,0.6535796523094177,0.6451162883032223,0.6093816684298534,0.6737623762376238,0.6535796766743649,0.6365501083771877,0.6100227967574737,0.45329548871578706,0.42068272913596655
9,1.0039044618606567,0.922609269618988,0.6514851450920105,0.6512702107429504,0.639341264870252,0.609016982399229,0.6673267326732674,0.651270207852194,0.6362087092603835,0.614430244158214,0.4563176261888332,0.43028411750521284
10,1.007337212562561,0.9185786247253418,0.6534653306007385,0.6558891534805298,0.642703526402223,0.6148490447130204,0.6722772277227723,0.6558891454965358,0.6410518431127903,0.6210452497782274,0.46171072653894585,0.43947360111153216
11,0.9964314103126526,0.9138940572738647,0.6509901285171509,0.6581985950469971,0.6447303738247244,0.6148376961720692,0.6732673267326733,0.6581986143187067,0.6439027535789692,0.6250060729532966,0.4665260592916758,0.4444436745537898
12,0.9873751401901245,0.9169362187385559,0.6495049595832825,0.6535796523094177,0.6555339456630169,0.6148131283693408,0.6782178217821783,0.6535796766743649,0.6536637349065203,0.6266562808877495,0.48331612411982844,0.44275122717813753
13,0.9703145027160645,0.9102247357368469,0.6534653306007385,0.6512702107429504,0.6535810123361504,0.6121549007881528,0.6787128712871288,0.651270207852194,0.6548370338390096,0.6235937213507966,0.4845875483406489,0.44189413850430803
14,0.9708498120307922,0.9122305512428284,0.6594059467315674,0.6535796523094177,0.657531530465838,0.6137242118523266,0.6816831683168317,0.6535796766743649,0.6585249516481905,0.6248139540375518,0.491470798898759,0.4448448505512731
15,0.9648375511169434,0.9131226539611816,0.6584158539772034,0.6535796523094177,0.658329725401354,0.6133180514481379,0.6821782178217822,0.6535796766743649,0.6594551212655322,0.6259555024566572,0.4925893174699229,0.44483826358826356
16,0.9596983194351196,0.9090830087661743,0.6638613939285278,0.6558891534805298,0.657018797807046,0.6160131727717381,0.6826732673267327,0.6558891454965358,0.657605030089623,0.6278623617216097,0.48670136290646004,0.45066103772017285
17,0.9524338245391846,0.9075936675071716,0.6633663177490234,0.6581985950469971,0.6569428418248706,0.6189518458816038,0.6836633663366337,0.6581986143187067,0.6594252303875456,0.6308881179550926,0.49018925409367814,0.4536315536315536
18,0.9634333252906799,0.9091413021087646,0.6608911156654358,0.6558891534805298,0.6644244565815399,0.6147001330539046,0.6881188118811881,0.6558891454965358,0.6660336660203758,0.628356542008605,0.5041309559472305,0.4478449024717681
19,0.9456785917282104,0.9095168113708496,0.6653465628623962,0.6512702107429504,0.6655652724728324,0.6094611996602383,0.6881188118811881,0.651270207852194,0.6666897691198213,0.622915505077596,0.5062836932998663,0.4399950804521149
20,0.9504395127296448,0.9100087881088257,0.6673267483711243,0.6489607095718384,0.6648413316618131,0.6086339555292254,0.689108910891089,0.648960739030023,0.6680778935385917,0.6232639127187369,0.5074802255044273,0.4413082994627173
21,0.9513234496116638,0.9069031476974487,0.6668316721916199,0.6535796523094177,0.6649763735513352,0.6144662475484469,0.6896039603960396,0.6535796766743649,0.6684962965759274,0.6275859520981626,0.5077123961079415,0.44835025073286316
22,0.9444140791893005,0.9057952165603638,0.6702970266342163,0.6558891534805298,0.6669432224468571,0.6164732981580892,0.691089108910891,0.6558891454965358,0.6692648779455816,0.6291815990897844,0.5081603917745887,0.4495814939268895
23,0.9412149786949158,0.9072695374488831,0.6688118577003479,0.6489607095718384,0.6701822426969299,0.6086361435210228,0.6925742574257425,0.648960739030023,0.672443850024765,0.6230049516031894,0.5147497007739901,0.43981101484521457
24,0.9472724795341492,0.9066790342330933,0.6638613939285278,0.6489607095718384,0.6700992099605545,0.6093241543160449,0.692079207920792,0.648960739030023,0.672664216783681,0.623597611513454,0.5153585779952844,0.4395823467536756
25,0.946618914604187,0.9058618545532227,0.6658415794372559,0.6535796523094177,0.6677781146054046,0.6126797250829065,0.69009900990099,0.6535796766743649,0.669204373475312,0.6273161589918983,0.5082217166503853,0.4436439175153266
26,0.9397712349891663,0.9059592485427856,0.6623762249946594,0.6512702107429504,0.669248026029148,0.6112859611649858,0.6915841584158415,0.651270207852194,0.6716733283064799,0.6257191003152157,0.5130005108615087,0.44248932349786163
27,0.933024525642395,0.9064844846725464,0.6618812084197998,0.6489607095718384,0.6722645487244635,0.6095112269976031,0.694059405940594,0.648960739030023,0.6748095849177159,0.6239231746564131,0.517404361903423,0.4398275657950581
