,precision,recall,f1-score,support
High,0.7551020408163265,0.8671875,0.8072727272727273,256.0
Marginal,0.1111111111111111,0.043478260869565216,0.0625,46.0
Low,0.2222222222222222,0.07547169811320754,0.11267605633802817,53.0
Very Low,0.5048543689320388,0.6666666666666666,0.574585635359116,78.0
accuracy,0.6466512702078522,0.6466512702078522,0.6466512702078522,0.6466512702078522
macro avg,0.39832243577042464,0.41320103141235986,0.3892586047424679,433.0
weighted avg,0.5763825683939203,0.6466512702078522,0.6012155397823203,433.0
