epoch,loss,val_loss,accuracy,val_accuracy,precision_weighted,val_precision_weighted,recall_weighted,val_recall_weighted,f1_weighted,val_f1_weighted,f1_macro,val_f1_macro
1,1.2647181749343872,1.1594043970108032,0.4445544481277466,0.5404157042503357,0.46460320080831696,0.4358399106667005,0.549009900990099,0.5404157043879908,0.4727392698184045,0.4622212501969862,0.3250494491711626,0.2912743728855279
2,1.164331078529358,1.109344482421875,0.5371286869049072,0.542725145816803,0.4978261929130134,0.4498893623185016,0.555940594059406,0.5427251732101617,0.49623013128737425,0.4855841247045121,0.36372260714928334,0.3496326699869393
3,1.1362873315811157,1.1051474809646606,0.5366336703300476,0.545034646987915,0.5150253216383824,0.49106650111705547,0.557920792079208,0.5450346420323325,0.5125307490697255,0.5032963079812857,0.3893969969220955,0.3670774614336488
4,1.1288402080535889,1.0966384410858154,0.53910893201828,0.5381062626838684,0.5258586993066795,0.4863514370418208,0.5663366336633663,0.5381062355658198,0.5199326248624404,0.49702401541573893,0.4001250525982257,0.36592617988231624
5,1.1100703477859497,1.0980141162872314,0.5480198264122009,0.5473440885543823,0.530970364830108,0.5171437208015413,0.5702970297029702,0.5473441108545035,0.5316970691936974,0.5142758731397797,0.41838658597840284,0.3852349520341568
6,1.0941200256347656,1.0926403999328613,0.5440593957901001,0.5381062626838684,0.5400311861051807,0.5129681889032681,0.5737623762376237,0.5381062355658198,0.5368616805601678,0.508715094349594,0.42625631116555196,0.3806336082207158
7,1.087697148323059,1.0923614501953125,0.5628712773323059,0.5404157042503357,0.5540977860769042,0.5070962790260287,0.5836633663366336,0.5404157043879908,0.5526113063705862,0.5109906366000225,0.44922674263748097,0.37918134182607566
8,1.0884162187576294,1.0848493576049805,0.5524752736091614,0.5404157042503357,0.5564531045161293,0.5092430862880594,0.5816831683168316,0.5404157043879908,0.549524938490018,0.5132397566577704,0.44688082492440273,0.3853125853125853
9,1.0774550437927246,1.0885292291641235,0.5574257373809814,0.5357967615127563,0.5578001508975416,0.5115976557389705,0.5846534653465346,0.535796766743649,0.5517421422757607,0.5082105389052886,0.449741175193337,0.37832387176763377
10,1.0692076683044434,1.0787734985351562,0.5485148429870605,0.5404157042503357,0.5548069831326227,0.5089110921120522,0.5866336633663366,0.5404157043879908,0.5470962696668812,0.5097495703224838,0.44289812498559816,0.37524188204108677
11,1.0657001733779907,1.0823994874954224,0.5579208135604858,0.5496535897254944,0.570685824576186,0.5191140682484185,0.5925742574257425,0.5496535796766744,0.5625892557161527,0.5215349382048512,0.46343168276286173,0.3885772821013785
12,1.0522631406784058,1.0818452835083008,0.555940568447113,0.5381062626838684,0.5797922091280665,0.5104179221098516,0.598019801980198,0.5381062355658198,0.5679384060971954,0.5131726582456678,0.47063896960683715,0.386708796510669
13,1.051332712173462,1.0816789865493774,0.5712871551513672,0.542725145816803,0.5726442433576114,0.5103006798397249,0.5945544554455445,0.5427251732101617,0.5625297757163177,0.5143959693624425,0.466707950008935,0.38500304338063873
14,1.0409719944000244,1.0841193199157715,0.5698019862174988,0.5265588760375977,0.5741081746671867,0.49332315503855667,0.599009900990099,0.5265588914549654,0.5700514288424987,0.4994165375327793,0.47591042852618676,0.36962582632654273
15,1.0288140773773193,1.0787147283554077,0.5742574334144592,0.542725145816803,0.5708020553381262,0.5061027219052661,0.5965346534653465,0.5427251732101617,0.568076583205793,0.514710959184166,0.47487453135633273,0.39031529870253634
16,1.0286753177642822,1.082135796546936,0.5752475261688232,0.542725145816803,0.5743557271200698,0.5095087092713334,0.599009900990099,0.5427251732101617,0.5711398929691798,0.5159658714016526,0.4781400934069578,0.38828598533237874
17,1.026503086090088,1.0827878713607788,0.5811881422996521,0.5357967615127563,0.5830853687595847,0.5090576466594893,0.6049504950495049,0.535796766743649,0.5807851393125568,0.511579940945455,0.4908759871484798,0.3790662035531075
18,1.0233581066131592,1.081484317779541,0.5792078971862793,0.5334873199462891,0.5856020640939611,0.5036318717481525,0.6089108910891089,0.5334872979214781,0.5831495644440854,0.5086341785287125,0.4919171938756838,0.3745439492731456
19,1.0105557441711426,1.079994559288025,0.5881187915802002,0.5404157042503357,0.5910173728755348,0.5129001288328743,0.6138613861386139,0.5404157043879908,0.5882342479090754,0.5158131807635787,0.5001763151893027,0.3831695399149134
20,1.0170320272445679,1.0812610387802124,0.5826732516288757,0.5334873199462891,0.5921789737516405,0.5033058749542543,0.6143564356435643,0.5334872979214781,0.5886833048909457,0.5085057985171644,0.5014903596041569,0.37135769196924123
21,1.0207264423370361,1.083820104598999,0.5841584205627441,0.531177818775177,0.5963847526745415,0.5023831787358507,0.6178217821782178,0.5311778290993071,0.5931357217751346,0.507681573052214,0.5079267031941065,0.37179782333794414
22,1.0167502164840698,1.085086703300476,0.5757426023483276,0.5357967615127563,0.5927147582198853,0.5089628329196539,0.6138613861386139,0.535796766743649,0.5910627590939134,0.5137842510196843,0.5067105344912977,0.377307214276998
23,1.0091841220855713,1.0835169553756714,0.5846534371376038,0.5381062626838684,0.5954595622146528,0.5102860578886173,0.6178217821782178,0.5381062355658198,0.5944475766993172,0.515548169200903,0.5113568335441412,0.3784387686931497
24,1.014546275138855,1.0830155611038208,0.5673267245292664,0.5381062626838684,0.5989431149720641,0.510560238437217,0.6198019801980198,0.5381062355658198,0.5952071595164546,0.5150342416176261,0.5125898158722973,0.37843643153325734
25,1.0175257921218872,1.083802342414856,0.5777227878570557,0.5357967615127563,0.5999834925324463,0.509233969397322,0.6198019801980198,0.535796766743649,0.5953610322123883,0.5132714975487395,0.5129725628117658,0.37730543212872114
