,precision,recall,f1-score,support
High,0.6789667896678967,0.8034934497816594,0.736,229.0
Marginal,0.2962962962962963,0.0975609756097561,0.14678899082568808,82.0
Low,0.3655913978494624,0.38636363636363635,0.3756906077348066,88.0
Very Low,0.2619047619047619,0.3235294117647059,0.2894736842105263,34.0
accuracy,0.5473441108545035,0.5473441108545035,0.5473441108545035,0.5473441108545035
macro avg,0.4006898114296043,0.40273686837993944,0.38698832069275524,433.0
weighted avg,0.5100611917915918,0.5473441108545035,0.5161283510196936,433.0
