Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m
8,4,8,2,0,7,3,3,1,09000033,02000964,3,87.5,271.3382244113919
5,2,6,2,2,5,6,4,2,09000022,02000620,3,60.4,166.28243417982404
2,3,8,2,2,0,2,2,1,09000022,02000627,4,80.10000000000001,485.7477146770179
2,4,7,2,2,6,2,2,1,09000019,02000574,4,65.5,246.2140048980387
3,4,9,2,1,6,2,0,3,09000021,02000608,5,78.2,388.92704243181794
2,3,8,1,2,5,0,1,1,09000009,02000276,7,90.2,360.39591854838676
9,2,8,0,2,1,5,2,3,09000003,02000062,2,82.19999999999999,572.6834210526316
5,4,8,0,1,0,2,0,5,09000033,02000967,8,68.30000000000001,182.31081575539545
4,4,7,2,1,4,4,1,2,09000009,02000257,4,72.39999999999999,368.34460372312657
8,4,7,0,2,0,2,0,4,09000008,02000198,2,83.5,449.26696099248085
5,4,6,2,2,5,3,0,3,09000025,02000720,4,94.69999999999999,594.9427249206346
4,4,5,2,2,9,3,3,1,09000033,02000981,6,89.8,438.81668114406733
9,2,5,2,2,0,5,0,3,09000031,02000916,4,85.3,279.63370943410814
4,3,8,2,2,5,3,3,3,09000033,02000972,4,38.4,336.07707946133525
3,3,8,0,2,0,2,0,4,09000032,02000949,9,81.89999999999999,402.63732096511586
6,2,10,1,1,2,3,0,2,09000033,02000963,3,90.60000000000001,203.38922951063773
3,2,5,2,1,2,3,1,0,09000022,02000621,5,40.1,248.0655072084937
5,2,6,2,2,9,3,4,0,09000033,02000965,9,87.7,552.1392022950816
2,1,6,1,2,0,2,0,0,09000013,02000389,7,87.4,720.1280590070919
11,1,10,0,2,0,4,0,5,09000027,02000784,9,90.2,489.3046499297517
5,1,8,1,2,0,3,0,0,09000019,02000567,2,88.5,210.40775958375613
5,2,10,0,1,0,1,0,0,09000028,02000827,3,60.8,302.241137922374
7,4,5,2,2,0,5,0,5,09000009,02000265,7,82.69999999999999,273.32123683018835
9,2,8,2,1,5,6,0,4,09000007,02000171,6,78.8,290.83921795744635
