msoa_code,green_space_pct,park_distance_m
E02000001,7.199999999999999,277.90590445674144
E02000002,77.3,484.99598214285714
E02000003,86.0,465.4614689265536
E02000004,92.5,345.71933333333334
E02000005,94.89999999999999,396.68969465648854
E02000007,78.7,261.08845070422535
E02000008,95.8,315.7678125
E02000009,86.9,288.76262068965514
E02000010,92.2,528.2630508474576
E02000011,92.10000000000001,333.5521739130435
E02000012,86.0,330.1348461538461
E02000013,96.1,307.1149494949495
E02000014,95.89999999999999,228.61460869565218
E02000015,70.0,237.97156716417908
E02000016,40.1,263.85367231638423
E02000017,85.39999999999999,248.80691489361703
E02000018,93.2,280.4568888888889
E02000019,94.5,262.966935483871
E02000020,91.4,419.7221256038647
E02000021,92.9,330.35188679245283
E02000022,42.8,282.52361795862055
E02000023,82.69999999999999,283.38699248120304
E02000024,87.3,320.5135888501742
E02000025,84.6,495.20798165137614
E02000026,88.6,384.24070866141733
E02000027,89.8,658.9298870056497
E02000028,76.3,371.068164556962
E02000029,79.3,434.1895906432749
E02000030,91.10000000000001,756.3947619047619
E02000031,74.8,402.88672811059917
E02000032,96.3,368.6878
E02000033,90.3,263.6342934782609
E02000034,78.60000000000001,415.67039800995025
E02000035,71.89999999999999,304.4400930232558
E02000036,86.1,400.3954460093897
E02000037,84.89999999999999,339.27488687782807
E02000038,85.9,231.87638009049775
E02000039,83.8,355.4193846153846
E02000040,82.1,348.0206338028169
E02000041,80.9,485.4272489082969
E02000042,69.3,586.4488114754099
E02000043,96.6,454.2983687943262
E02000044,92.0,204.66255813953487
E02000045,69.19999999999999,416.42941747572814
E02000046,82.5,236.0967295597484
E02000047,77.3,279.98215859030836
E02000048,75.6,319.6150423728813
E02000049,74.5,406.25276497695853
E02000050,85.5,402.67
E02000051,73.4,265.4326666666667
E02000052,73.3,782.5918817204301
E02000053,71.6,482.4405374982207
E02000054,71.89999999999999,242.34076470588232
E02000055,63.9,337.56188405797104
E02000056,83.7,410.33278985507246
E02000057,70.1,205.51593548387098
E02000058,85.7,248.82601423487546
E02000059,77.2,213.14410256410258
E02000060,83.39999999999999,366.3997512437811
E02000061,86.2,340.447512195122
E02000062,82.19999999999999,572.6834210526316
E02000063,80.9,456.13860655737705
E02000064,64.9,438.2215862068965
E02000065,86.9,671.1951157657654
E02000066,60.199999999999996,434.22609751908334
E02000067,83.0,659.0337096774193
E02000068,65.8,465.28931447368404
E02000069,84.2,473.7022322499997
E02000070,94.19999999999999,723.0452415231765
E02000071,95.39999999999999,1209.2037357657614
E02000072,89.0,1600.3586004807667
E02000073,98.1,405.64123525454517
E02000074,90.2,1173.887982013888
E02000075,98.1,688.5212036567165
E02000077,93.8,372.4357115806446
E02000078,99.6,835.10544
E02000079,85.39999999999999,348.25568479262665
E02000080,90.10000000000001,466.07723700636905
E02000081,95.5,283.11439716312054
