Model,Train Accuracy,Validation Accuracy,Accuracy Gap,Train Macro F1,Validation Macro F1,Macro F1 Gap
XGBoost,0.9603960396039604,0.5773672055427251,0.3830288340612352,0.9625792520893107,0.3256414413821,0.6369378107072108
CatBoost,0.6742574257425743,0.5889145496535797,0.0853428760889946,0.4670762109149884,0.31972955360052135,0.14734665731446706
Random Forest,1.0,0.5981524249422633,0.4018475750577367,1.0,0.3072989683309968,0.6927010316690032
Logistic Regression,0.6069306930693069,0.5750577367205543,0.031872956348752646,0.36182943756223174,0.3038161450952148,0.05801329246701692
