,Mean Class Distance,Exact Classification %,Off By One Class %,Off By Two+ Classes %
Logistic Regression,0.648960739030023,57.505773672055426,21.709006928406467,20.785219399538107
Random Forest,0.5958429561200924,59.815242494226325,22.401847575057737,17.782909930715935
XGBoost,0.625866050808314,57.736720554272516,23.556581986143186,18.706697459584294
CatBoost,0.628175519630485,58.89145496535797,21.478060046189377,19.630484988452658
