column,class,count,percentage
msoa_code,E02000845,5,0.17
msoa_code,E02000429,5,0.17
msoa_code,E02000050,5,0.17
msoa_code,E02000919,5,0.17
msoa_code,E02000621,5,0.17
msoa_code,E02000567,5,0.17
msoa_code,E02000265,5,0.17
msoa_code,E02000901,5,0.17
msoa_code,E02000115,5,0.17
msoa_code,E02006802,5,0.17
msoa_code,E02000620,5,0.17
msoa_code,E02000812,5,0.17
msoa_code,E02000903,5,0.17
msoa_code,E02000959,5,0.17
msoa_code,E02000699,5,0.17
msoa_code,E02000975,5,0.17
msoa_code,E02000359,5,0.17
msoa_code,E02000608,5,0.17
msoa_code,E02000557,5,0.17
msoa_code,E02000284,5,0.17
msoa_code,E02000539,5,0.17
msoa_code,E02000206,5,0.17
msoa_code,E02000445,5,0.17
msoa_code,E02000840,5,0.17
msoa_code,E02000132,5,0.17
msoa_code,E02000844,5,0.17
msoa_code,E02000893,5,0.17
msoa_code,E02006929,5,0.17
msoa_code,E02000881,5,0.17
msoa_code,E02000873,5,0.17
msoa_code,E02000125,5,0.17
msoa_code,E02000453,5,0.17
msoa_code,E02000145,5,0.17
msoa_code,E02000711,5,0.17
msoa_code,E02000677,5,0.17
msoa_code,E02000187,5,0.17
msoa_code,E02000725,5,0.17
msoa_code,E02000358,5,0.17
msoa_code,E02000823,5,0.17
msoa_code,E02000053,5,0.17
msoa_code,E02000201,5,0.17
msoa_code,E02000560,5,0.17
msoa_code,E02000269,5,0.17
msoa_code,E02000871,5,0.17
msoa_code,E02000001,5,0.17
msoa_code,E02000900,5,0.17
msoa_code,E02000208,5,0.17
msoa_code,E02000099,5,0.17
msoa_code,E02000908,5,0.17
msoa_code,E02000094,5,0.17
msoa_code,E02000080,5,0.17
msoa_code,E02000127,5,0.17
msoa_code,E02006791,5,0.17
msoa_code,E02000316,5,0.17
msoa_code,E02000364,5,0.17
msoa_code,E02000887,5,0.17
msoa_code,E02000528,5,0.17
msoa_code,E02000750,5,0.17
msoa_code,E02000943,5,0.17
msoa_code,E02000126,5,0.17
msoa_code,E02000566,5,0.17
msoa_code,E02000374,5,0.17
msoa_code,E02000280,5,0.17
msoa_code,E02000769,5,0.17
msoa_code,E02000806,5,0.17
msoa_code,E02000803,5,0.17
msoa_code,E02000256,5,0.17
msoa_code,E02000886,5,0.17
msoa_code,E02000384,5,0.17
msoa_code,E02000209,4,0.14
msoa_code,E02000825,4,0.14
msoa_code,E02000859,4,0.14
msoa_code,E02000270,4,0.14
msoa_code,E02000965,4,0.14
msoa_code,E02000318,4,0.14
msoa_code,E02000657,4,0.14
msoa_code,E02000341,4,0.14
msoa_code,E02000431,4,0.14
msoa_code,E02000054,4,0.14
msoa_code,E02000248,4,0.14
msoa_code,E02000808,4,0.14
msoa_code,E02000356,4,0.14
msoa_code,E02006800,4,0.14
msoa_code,E02000637,4,0.14
msoa_code,E02000678,4,0.14
msoa_code,E02000565,4,0.14
msoa_code,E02000373,4,0.14
msoa_code,E02000346,4,0.14
msoa_code,E02000830,4,0.14
msoa_code,E02000198,4,0.14
msoa_code,E02000424,4,0.14
msoa_code,E02000217,4,0.14
msoa_code,E02000730,4,0.14
msoa_code,E02000418,4,0.14
msoa_code,E02000403,4,0.14
msoa_code,E02000467,4,0.14
msoa_code,E02000629,4,0.14
msoa_code,E02000367,4,0.14
msoa_code,E02000680,4,0.14
msoa_code,E02000645,4,0.14
msoa_code,E02000850,4,0.14
msoa_code,E02000181,4,0.14
msoa_code,E02000787,4,0.14
msoa_code,E02000681,4,0.14
msoa_code,E02000131,4,0.14
msoa_code,E02000042,4,0.14
msoa_code,E02000639,4,0.14
msoa_code,E02000846,4,0.14
msoa_code,E02000941,4,0.14
msoa_code,E02000116,4,0.14
msoa_code,E02000914,4,0.14
msoa_code,E02000822,4,0.14
msoa_code,E02000533,4,0.14
msoa_code,E02000140,4,0.14
msoa_code,E02000915,4,0.14
msoa_code,E02000420,4,0.14
msoa_code,E02000602,4,0.14
msoa_code,E02000184,4,0.14
msoa_code,E02000704,4,0.14
msoa_code,E02000288,4,0.14
msoa_code,E02000152,4,0.14
msoa_code,E02000917,4,0.14
msoa_code,E02000694,4,0.14
msoa_code,E02000820,4,0.14
msoa_code,E02000554,4,0.14
msoa_code,E02000804,4,0.14
msoa_code,E02006796,4,0.14
msoa_code,E02000646,4,0.14
msoa_code,E02000020,4,0.14
msoa_code,E02000883,4,0.14
msoa_code,E02000604,4,0.14
msoa_code,E02000397,4,0.14
msoa_code,E02000667,4,0.14
msoa_code,E02000531,4,0.14
msoa_code,E02000120,4,0.14
msoa_code,E02000747,4,0.14
msoa_code,E02000671,4,0.14
msoa_code,E02000737,4,0.14
msoa_code,E02000935,4,0.14
msoa_code,E02006836,4,0.14
msoa_code,E02000182,4,0.14
msoa_code,E02000110,4,0.14
msoa_code,E02000945,4,0.14
msoa_code,E02000572,4,0.14
msoa_code,E02000626,4,0.14
msoa_code,E02000526,4,0.14
msoa_code,E02000476,4,0.14
msoa_code,E02000819,4,0.14
msoa_code,E02000173,4,0.14
msoa_code,E02000589,4,0.14
msoa_code,E02000786,4,0.14
msoa_code,E02000921,4,0.14
msoa_code,E02000109,4,0.14
msoa_code,E02006928,4,0.14
msoa_code,E02000966,4,0.14
msoa_code,E02000024,4,0.14
msoa_code,E02000888,4,0.14
msoa_code,E02000056,4,0.14
msoa_code,E02000327,4,0.14
msoa_code,E02000956,4,0.14
msoa_code,E02000161,4,0.14
msoa_code,E02000672,4,0.14
msoa_code,E02000691,4,0.14
msoa_code,E02000317,4,0.14
msoa_code,E02000510,4,0.14
msoa_code,E02000411,4,0.14
msoa_code,E02000407,4,0.14
msoa_code,E02000882,4,0.14
msoa_code,E02000369,4,0.14
msoa_code,E02000112,4,0.14
msoa_code,E02000412,4,0.14
msoa_code,E02000744,4,0.14
msoa_code,E02000807,4,0.14
msoa_code,E02000339,4,0.14
msoa_code,E02000606,4,0.14
msoa_code,E02000292,4,0.14
msoa_code,E02000421,4,0.14
msoa_code,E02000827,4,0.14
msoa_code,E02000968,4,0.14
msoa_code,E02000230,4,0.14
msoa_code,E02000319,4,0.14
msoa_code,E02000340,4,0.14
msoa_code,E02000480,4,0.14
msoa_code,E02000579,4,0.14
msoa_code,E02000613,4,0.14
msoa_code,E02000929,3,0.1
msoa_code,E02000815,3,0.1
msoa_code,E02006927,3,0.1
msoa_code,E02000123,3,0.1
msoa_code,E02000583,3,0.1
msoa_code,E02000414,3,0.1
msoa_code,E02000419,3,0.1
msoa_code,E02000335,3,0.1
msoa_code,E02000954,3,0.1
msoa_code,E02000452,3,0.1
msoa_code,E02000245,3,0.1
msoa_code,E02000950,3,0.1
msoa_code,E02000434,3,0.1
msoa_code,E02000573,3,0.1
msoa_code,E02000048,3,0.1
msoa_code,E02000979,3,0.1
msoa_code,E02000816,3,0.1
msoa_code,E02000363,3,0.1
msoa_code,E02000190,3,0.1
msoa_code,E02000679,3,0.1
msoa_code,E02000508,3,0.1
msoa_code,E02000532,3,0.1
msoa_code,E02000286,3,0.1
msoa_code,E02000045,3,0.1
msoa_code,E02000519,3,0.1
msoa_code,E02000305,3,0.1
msoa_code,E02000869,3,0.1
msoa_code,E02000225,3,0.1
msoa_code,E02000558,3,0.1
msoa_code,E02000733,3,0.1
msoa_code,E02000663,3,0.1
msoa_code,E02000746,3,0.1
msoa_code,E02000368,3,0.1
msoa_code,E02000121,3,0.1
msoa_code,E02000323,3,0.1
msoa_code,E02000337,3,0.1
msoa_code,E02000422,3,0.1
msoa_code,E02000741,3,0.1
msoa_code,E02000581,3,0.1
msoa_code,E02000577,3,0.1
msoa_code,E02000156,3,0.1
msoa_code,E02000388,3,0.1
msoa_code,E02000708,3,0.1
msoa_code,E02000235,3,0.1
msoa_code,E02000669,3,0.1
msoa_code,E02000719,3,0.1
msoa_code,E02000976,3,0.1
msoa_code,E02000003,3,0.1
msoa_code,E02000079,3,0.1
msoa_code,E02000640,3,0.1
msoa_code,E02000114,3,0.1
msoa_code,E02000404,3,0.1
msoa_code,E02000641,3,0.1
msoa_code,E02000729,3,0.1
msoa_code,E02000456,3,0.1
msoa_code,E02000874,3,0.1
msoa_code,E02000084,3,0.1
msoa_code,E02006792,3,0.1
msoa_code,E02000650,3,0.1
msoa_code,E02000241,3,0.1
msoa_code,E02000332,3,0.1
msoa_code,E02000974,3,0.1
msoa_code,E02000686,3,0.1
msoa_code,E02000913,3,0.1
msoa_code,E02000619,3,0.1
msoa_code,E02000224,3,0.1
msoa_code,E02000389,3,0.1
msoa_code,E02000784,3,0.1
msoa_code,E02000879,3,0.1
msoa_code,E02000174,3,0.1
msoa_code,E02000838,3,0.1
msoa_code,E02000720,3,0.1
msoa_code,E02000937,3,0.1
msoa_code,E02000025,3,0.1
msoa_code,E02000408,3,0.1
msoa_code,E02000394,3,0.1
msoa_code,E02000673,3,0.1
msoa_code,E02000034,3,0.1
msoa_code,E02000150,3,0.1
msoa_code,E02000515,3,0.1
msoa_code,E02000562,3,0.1
msoa_code,E02000500,3,0.1
msoa_code,E02006924,3,0.1
msoa_code,E02000721,3,0.1
msoa_code,E02000797,3,0.1
msoa_code,E02000631,3,0.1
msoa_code,E02000933,3,0.1
msoa_code,E02000062,3,0.1
msoa_code,E02000843,3,0.1
msoa_code,E02000097,3,0.1
msoa_code,E02000207,3,0.1
msoa_code,E02000824,3,0.1
msoa_code,E02000520,3,0.1
msoa_code,E02000117,3,0.1
msoa_code,E02000930,3,0.1
msoa_code,E02000781,3,0.1
msoa_code,E02000030,3,0.1
msoa_code,E02000834,3,0.1
msoa_code,E02000614,3,0.1
msoa_code,E02000826,3,0.1
msoa_code,E02000026,3,0.1
msoa_code,E02000134,3,0.1
msoa_code,E02000675,3,0.1
msoa_code,E02000706,3,0.1
msoa_code,E02000372,3,0.1
msoa_code,E02000249,3,0.1
msoa_code,E02000370,3,0.1
msoa_code,E02000683,3,0.1
msoa_code,E02000443,3,0.1
msoa_code,E02000927,3,0.1
msoa_code,E02000592,3,0.1
msoa_code,E02000970,3,0.1
msoa_code,E02000868,3,0.1
msoa_code,E02000654,3,0.1
msoa_code,E02000636,3,0.1
msoa_code,E02000179,3,0.1
msoa_code,E02000291,3,0.1
msoa_code,E02000674,3,0.1
msoa_code,E02000381,3,0.1
msoa_code,E02000805,3,0.1
msoa_code,E02000046,3,0.1
msoa_code,E02000607,3,0.1
msoa_code,E02000801,3,0.1
msoa_code,E02000828,3,0.1
msoa_code,E02000233,3,0.1
msoa_code,E02000792,3,0.1
msoa_code,E02000624,3,0.1
msoa_code,E02000712,3,0.1
msoa_code,E02000417,3,0.1
msoa_code,E02000354,3,0.1
msoa_code,E02000038,3,0.1
msoa_code,E02000059,3,0.1
msoa_code,E02000698,3,0.1
msoa_code,E02000413,3,0.1
msoa_code,E02000272,3,0.1
msoa_code,E02000199,3,0.1
msoa_code,E02000314,3,0.1
msoa_code,E02000574,3,0.1
msoa_code,E02000596,2,0.07
msoa_code,E02000880,2,0.07
msoa_code,E02000703,2,0.07
msoa_code,E02000939,2,0.07
msoa_code,E02000260,2,0.07
msoa_code,E02000244,2,0.07
msoa_code,E02000041,2,0.07
msoa_code,E02000295,2,0.07
msoa_code,E02000689,2,0.07
msoa_code,E02000426,2,0.07
msoa_code,E02000197,2,0.07
msoa_code,E02000842,2,0.07
msoa_code,E02000004,2,0.07
msoa_code,E02000550,2,0.07
msoa_code,E02000668,2,0.07
msoa_code,E02000870,2,0.07
msoa_code,E02000312,2,0.07
msoa_code,E02000128,2,0.07
msoa_code,E02000942,2,0.07
msoa_code,E02000082,2,0.07
msoa_code,E02000549,2,0.07
msoa_code,E02000066,2,0.07
msoa_code,E02000092,2,0.07
msoa_code,E02000396,2,0.07
msoa_code,E02000612,2,0.07
msoa_code,E02000447,2,0.07
msoa_code,E02000651,2,0.07
msoa_code,E02000773,2,0.07
msoa_code,E02000837,2,0.07
msoa_code,E02000095,2,0.07
msoa_code,E02000377,2,0.07
msoa_code,E02000212,2,0.07
msoa_code,E02000512,2,0.07
msoa_code,E02000029,2,0.07
msoa_code,E02000625,2,0.07
msoa_code,E02000263,2,0.07
msoa_code,E02000400,2,0.07
msoa_code,E02000738,2,0.07
msoa_code,E02000603,2,0.07
msoa_code,E02000745,2,0.07
msoa_code,E02000343,2,0.07
msoa_code,E02000361,2,0.07
msoa_code,E02000250,2,0.07
msoa_code,E02000926,2,0.07
msoa_code,E02000091,2,0.07
msoa_code,E02000440,2,0.07
msoa_code,E02000177,2,0.07
msoa_code,E02000072,2,0.07
msoa_code,E02000328,2,0.07
msoa_code,E02000863,2,0.07
msoa_code,E02000119,2,0.07
msoa_code,E02000585,2,0.07
msoa_code,E02000163,2,0.07
msoa_code,E02000098,2,0.07
msoa_code,E02000714,2,0.07
msoa_code,E02000243,2,0.07
msoa_code,E02000590,2,0.07
msoa_code,E02000702,2,0.07
msoa_code,E02000522,2,0.07
msoa_code,E02000849,2,0.07
msoa_code,E02000457,2,0.07
msoa_code,E02000740,2,0.07
msoa_code,E02000495,2,0.07
msoa_code,E02000770,2,0.07
msoa_code,E02006786,2,0.07
msoa_code,E02000267,2,0.07
msoa_code,E02000390,2,0.07
msoa_code,E02000259,2,0.07
msoa_code,E02000090,2,0.07
msoa_code,E02000321,2,0.07
msoa_code,E02000155,2,0.07
msoa_code,E02000582,2,0.07
msoa_code,E02000470,2,0.07
msoa_code,E02000907,2,0.07
msoa_code,E02000912,2,0.07
msoa_code,E02000634,2,0.07
msoa_code,E02000498,2,0.07
msoa_code,E02000078,2,0.07
msoa_code,E02000916,2,0.07
msoa_code,E02000122,2,0.07
msoa_code,E02000601,2,0.07
msoa_code,E02000609,2,0.07
msoa_code,E02000648,2,0.07
msoa_code,E02000946,2,0.07
msoa_code,E02000749,2,0.07
msoa_code,E02000967,2,0.07
msoa_code,E02000108,2,0.07
msoa_code,E02000301,2,0.07
msoa_code,E02000057,2,0.07
msoa_code,E02000780,2,0.07
msoa_code,E02000308,2,0.07
msoa_code,E02000144,2,0.07
msoa_code,E02000444,2,0.07
msoa_code,E02000085,2,0.07
msoa_code,E02000600,2,0.07
msoa_code,E02000262,2,0.07
msoa_code,E02000415,2,0.07
msoa_code,E02000796,2,0.07
msoa_code,E02000580,2,0.07
msoa_code,E02000096,2,0.07
msoa_code,E02000833,2,0.07
msoa_code,E02000137,2,0.07
msoa_code,E02006853,2,0.07
msoa_code,E02006801,2,0.07
msoa_code,E02000687,2,0.07
msoa_code,E02000931,2,0.07
msoa_code,E02000218,2,0.07
msoa_code,E02000385,2,0.07
msoa_code,E02000584,2,0.07
msoa_code,E02000070,2,0.07
msoa_code,E02000955,2,0.07
msoa_code,E02000814,2,0.07
msoa_code,E02000240,2,0.07
msoa_code,E02000655,2,0.07
msoa_code,E02000086,2,0.07
msoa_code,E02000409,2,0.07
msoa_code,E02000334,2,0.07
msoa_code,E02000165,2,0.07
msoa_code,E02000376,2,0.07
msoa_code,E02000983,2,0.07
msoa_code,E02000279,2,0.07
msoa_code,E02000049,2,0.07
msoa_code,E02000226,2,0.07
msoa_code,E02000661,2,0.07
msoa_code,E02000459,2,0.07
msoa_code,E02000545,2,0.07
msoa_code,E02000071,2,0.07
msoa_code,E02000777,2,0.07
msoa_code,E02000008,2,0.07
msoa_code,E02000722,2,0.07
msoa_code,E02000748,2,0.07
msoa_code,E02000885,2,0.07
msoa_code,E02000605,2,0.07
msoa_code,E02000425,2,0.07
msoa_code,E02000253,2,0.07
msoa_code,E02000953,2,0.07
msoa_code,E02000130,2,0.07
msoa_code,E02000799,2,0.07
msoa_code,E02000506,2,0.07
msoa_code,E02000716,2,0.07
msoa_code,E02000630,2,0.07
msoa_code,E02000632,2,0.07
msoa_code,E02000289,2,0.07
msoa_code,E02000064,2,0.07
msoa_code,E02000779,2,0.07
msoa_code,E02000428,2,0.07
msoa_code,E02006782,2,0.07
msoa_code,E02000829,2,0.07
msoa_code,E02000303,2,0.07
msoa_code,E02000810,2,0.07
msoa_code,E02000743,2,0.07
msoa_code,E02000366,2,0.07
msoa_code,E02000105,2,0.07
msoa_code,E02000036,2,0.07
msoa_code,E02000103,2,0.07
msoa_code,E02000183,2,0.07
msoa_code,E02000705,2,0.07
msoa_code,E02000101,2,0.07
msoa_code,E02000104,2,0.07
msoa_code,E02000060,2,0.07
msoa_code,E02000202,2,0.07
msoa_code,E02000980,2,0.07
msoa_code,E02000016,2,0.07
msoa_code,E02000817,2,0.07
msoa_code,E02000299,2,0.07
msoa_code,E02000839,2,0.07
msoa_code,E02000237,2,0.07
msoa_code,E02000033,2,0.07
msoa_code,E02000449,2,0.07
msoa_code,E02000463,1,0.03
msoa_code,E02000490,1,0.03
msoa_code,E02000928,1,0.03
msoa_code,E02000063,1,0.03
msoa_code,E02000255,1,0.03
msoa_code,E02000234,1,0.03
msoa_code,E02000552,1,0.03
msoa_code,E02000393,1,0.03
msoa_code,E02000501,1,0.03
msoa_code,E02000543,1,0.03
msoa_code,E02000497,1,0.03
msoa_code,E02006784,1,0.03
msoa_code,E02000521,1,0.03
msoa_code,E02000899,1,0.03
msoa_code,E02000742,1,0.03
msoa_code,E02000768,1,0.03
msoa_code,E02000904,1,0.03
msoa_code,E02000488,1,0.03
msoa_code,E02000518,1,0.03
msoa_code,E02000442,1,0.03
msoa_code,E02000855,1,0.03
msoa_code,E02000448,1,0.03
msoa_code,E02000895,1,0.03
msoa_code,E02000040,1,0.03
msoa_code,E02000219,1,0.03
msoa_code,E02000391,1,0.03
msoa_code,E02000615,1,0.03
msoa_code,E02000662,1,0.03
msoa_code,E02000014,1,0.03
msoa_code,E02000481,1,0.03
msoa_code,E02000836,1,0.03
msoa_code,E02000971,1,0.03
msoa_code,E02000765,1,0.03
msoa_code,E02000472,1,0.03
msoa_code,E02000896,1,0.03
msoa_code,E02000469,1,0.03
msoa_code,E02000524,1,0.03
msoa_code,E02000264,1,0.03
msoa_code,E02000477,1,0.03
msoa_code,E02000548,1,0.03
msoa_code,E02000772,1,0.03
msoa_code,E02000146,1,0.03
msoa_code,E02000221,1,0.03
msoa_code,E02000088,1,0.03
msoa_code,E02000167,1,0.03
msoa_code,E02000275,1,0.03
msoa_code,E02000333,1,0.03
msoa_code,E02000593,1,0.03
msoa_code,E02000285,1,0.03
msoa_code,E02000075,1,0.03
msoa_code,E02000283,1,0.03
msoa_code,E02000227,1,0.03
msoa_code,E02000195,1,0.03
msoa_code,E02000239,1,0.03
msoa_code,E02000598,1,0.03
msoa_code,E02000015,1,0.03
msoa_code,E02006788,1,0.03
msoa_code,E02000920,1,0.03
msoa_code,E02000405,1,0.03
msoa_code,E02000039,1,0.03
msoa_code,E02000876,1,0.03
msoa_code,E02000087,1,0.03
msoa_code,E02000200,1,0.03
msoa_code,E02000617,1,0.03
msoa_code,E02000513,1,0.03
msoa_code,E02000475,1,0.03
msoa_code,E02000309,1,0.03
msoa_code,E02000902,1,0.03
msoa_code,E02000231,1,0.03
msoa_code,E02006918,1,0.03
msoa_code,E02000802,1,0.03
msoa_code,E02000731,1,0.03
msoa_code,E02000151,1,0.03
msoa_code,E02000410,1,0.03
msoa_code,E02000958,1,0.03
msoa_code,E02000204,1,0.03
msoa_code,E02000544,1,0.03
msoa_code,E02000118,1,0.03
msoa_code,E02000897,1,0.03
msoa_code,E02000485,1,0.03
msoa_code,E02000258,1,0.03
msoa_code,E02000342,1,0.03
msoa_code,E02000196,1,0.03
msoa_code,E02000466,1,0.03
msoa_code,E02000160,1,0.03
msoa_code,E02000821,1,0.03
msoa_code,E02000890,1,0.03
msoa_code,E02000853,1,0.03
msoa_code,E02006793,1,0.03
msoa_code,E02000735,1,0.03
msoa_code,E02000436,1,0.03
msoa_code,E02000978,1,0.03
msoa_code,E02000788,1,0.03
msoa_code,E02000311,1,0.03
msoa_code,E02000451,1,0.03
msoa_code,E02000357,1,0.03
msoa_code,E02000534,1,0.03
msoa_code,E02000790,1,0.03
msoa_code,E02000517,1,0.03
msoa_code,E02000153,1,0.03
msoa_code,E02000724,1,0.03
msoa_code,E02000616,1,0.03
msoa_code,E02000776,1,0.03
msoa_code,E02000982,1,0.03
msoa_code,E02000948,1,0.03
msoa_code,E02006795,1,0.03
msoa_code,E02000188,1,0.03
msoa_code,E02000222,1,0.03
msoa_code,E02000159,1,0.03
msoa_code,E02000486,1,0.03
msoa_code,E02000176,1,0.03
msoa_code,E02000728,1,0.03
msoa_code,E02000037,1,0.03
msoa_code,E02000133,1,0.03
msoa_code,E02000067,1,0.03
msoa_code,E02000293,1,0.03
msoa_code,E02000138,1,0.03
msoa_code,E02000547,1,0.03
msoa_code,E02000511,1,0.03
msoa_code,E02000102,1,0.03
msoa_code,E02000251,1,0.03
msoa_code,E02000022,1,0.03
msoa_code,E02000496,1,0.03
msoa_code,E02000963,1,0.03
msoa_code,E02000860,1,0.03
msoa_code,E02000223,1,0.03
msoa_code,E02000032,1,0.03
msoa_code,E02000478,1,0.03
msoa_code,E02000441,1,0.03
msoa_code,E02000232,1,0.03
msoa_code,E02000169,1,0.03
msoa_code,E02000089,1,0.03
msoa_code,E02000514,1,0.03
msoa_code,E02000492,1,0.03
msoa_code,E02000553,1,0.03
msoa_code,E02000438,1,0.03
msoa_code,E02000465,1,0.03
msoa_code,E02000031,1,0.03
msoa_code,E02000019,1,0.03
msoa_code,E02000345,1,0.03
msoa_code,E02000382,1,0.03
msoa_code,E02000189,1,0.03
msoa_code,E02000832,1,0.03
msoa_code,E02000494,1,0.03
msoa_code,E02000294,1,0.03
msoa_code,E02000940,1,0.03
msoa_code,E02000751,1,0.03
msoa_code,E02000756,1,0.03
msoa_code,E02000623,1,0.03
msoa_code,E02006785,1,0.03
msoa_code,E02000752,1,0.03
msoa_code,E02000595,1,0.03
msoa_code,E02000732,1,0.03
msoa_code,E02000952,1,0.03
msoa_code,E02000611,1,0.03
msoa_code,E02000570,1,0.03
msoa_code,E02000324,1,0.03
msoa_code,E02000762,1,0.03
msoa_code,E02000586,1,0.03
msoa_code,E02000192,1,0.03
msoa_code,E02000047,1,0.03
msoa_code,E02000516,1,0.03
msoa_code,E02000148,1,0.03
msoa_code,E02000185,1,0.03
msoa_code,E02000841,1,0.03
imd_decile,3,529,18.33
imd_decile,4,471,16.32
imd_decile,2,419,14.52
imd_decile,5,347,12.02
imd_decile,6,328,11.37
imd_decile,7,246,8.52
imd_decile,8,199,6.9
imd_decile,9,199,6.9
imd_decile,10,91,3.15
imd_decile,1,57,1.98
