,Mean Class Distance,Exact Classification %,Off By One Class %,Off By Two+ Classes %
Logistic Regression,0.6628175519630485,65.81986143187068,12.471131639722865,21.709006928406467
Random Forest,0.6558891454965358,65.81986143187068,13.163972286374134,21.016166281755197
XGBoost,0.6535796766743649,66.28175519630484,12.240184757505773,21.478060046189377
CatBoost,0.648960739030023,66.74364896073904,12.240184757505773,21.016166281755197
