Model,High,Low,Marginal,Very Low
CatBoost,0.92578125,0.07692307692307693,0.0,0.6075949367088608
Logistic Regression,0.9296875,0.019230769230769232,0.0,0.5822784810126582
Random Forest,0.9375,0.038461538461538464,0.021739130434782608,0.5316455696202531
XGBoost,0.90625,0.07692307692307693,0.06521739130434782,0.6075949367088608
