Model,Train Accuracy,Validation Accuracy,Accuracy Gap,Train Macro F1,Validation Macro F1,Macro F1 Gap
Logistic Regression,0.6613861386138614,0.6581986143187067,0.0031875242951546756,0.37017046884765614,0.3519912591074795,0.018179209740176616
Random Forest,1.0,0.6581986143187067,0.34180138568129326,1.0,0.364218932606155,0.635781067393845
XGBoost,0.7826732673267327,0.6628175519630485,0.11985571536368422,0.6401593237275763,0.4036572819724627,0.23650204175511363
CatBoost,0.7282178217821782,0.6674364896073903,0.06078133217478787,0.5065950926059797,0.3790652718550846,0.12752982075089508
