Gender_Code,Work_Schedule_Code,Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,Housing_tenure_group_code,Income_Code,imd_decile,green_space_pct,park_distance_m,crime_rate_per_1000
1,2,6,5,9,1,2,5,5,9,90.7,209.4413019,81.460788
1,3,6,4,4,2,2,4,2,7,72.8,192.1284982,127.4397297
1,3,11,4,7,2,2,5,3,10,96.6,454.2983688,71.52628694
1,7,10,1,6,1,1,3,1,8,96.0,447.1174424,64.46313682
2,2,5,6,8,1,0,1,1,5,32.8,240.7753592,161.7785752
1,9,4,5,5,2,2,0,0,6,93.4,513.1842981,69.34413948
2,5,11,1,8,2,2,4,5,8,89.2,361.6728254,64.10579525
1,2,2,3,9,0,2,2,0,4,82.0,264.3229675,127.4397297
1,2,6,6,1,2,1,1,2,5,90.2,360.3959185,81.460788
2,8,2,3,4,2,2,6,0,3,79.8,295.7323768,110.3108459
3,3,4,3,6,2,1,2,0,1,80.9,154.0714734,112.8953553
2,2,5,4,7,2,2,1,3,3,48.2,248.3574909,372.933205
1,8,9,1,9,0,2,4,5,7,87.3,578.6153528,372.933205
1,9,6,5,9,0,2,2,5,7,66.2,230.5767612,75.01260027
1,2,4,1,10,0,2,5,5,7,84.3,449.5503527,107.0192611
2,2,3,4,7,2,1,2,3,8,79.8,225.2410347,96.79696038
1,2,7,5,7,2,2,2,0,8,93.0,238.395493,144.3589814
2,3,7,3,6,2,2,2,0,2,29.9,320.0387026,121.6670744
1,7,3,4,1,2,1,2,1,5,87.6,296.2050552,69.34413948
2,2,6,5,7,0,2,4,5,7,82.5,236.0967296,71.52628694
1,2,9,4,7,1,2,5,2,3,94.3,432.6012683,93.94595065
2,2,4,1,9,1,2,5,5,4,86.6,416.2383848,78.28836493
1,5,10,1,8,0,2,4,2,9,98.1,405.6412353,64.46313682
1,2,9,5,8,2,2,5,5,9,93.9,428.7586748,59.12433069
2,2,5,4,8,2,1,5,5,3,82.2,341.1166595,89.33622132
2,2,3,1,7,2,2,1,1,4,79.9,260.8400465,161.7785752
2,2,7,4,7,0,2,4,5,8,65.6,445.4240359,87.80214462
2,2,10,5,9,1,2,4,3,6,70.1,205.5159355,71.52628694
1,9,4,5,8,1,1,2,2,5,73.8,258.6382155,82.92437534
1,2,3,3,8,0,2,2,1,5,61.3,118.9556881,106.554188
1,3,5,6,4,2,2,1,1,6,90.6,407.0761979,107.0192611
1,2,4,1,9,2,1,2,0,9,15.9,267.3949662,106.554188
1,5,11,1,9,2,2,4,2,4,76.4,435.2686482,85.64933259
1,2,5,5,8,1,1,5,5,1,62.8,292.7309746,121.6670744
1,3,6,5,9,0,2,5,5,10,93.1,418.5896973,77.02625332
1,2,5,5,7,1,2,1,4,3,94.4,440.8991517,110.3108459
1,9,5,5,9,0,2,5,5,2,91.6,503.8288408,96.79696038
0,2,6,5,6,0,2,1,0,6,68.6,176.2686073,121.6670744
2,3,3,5,9,0,2,5,2,5,95.1,341.0629634,82.92437534
2,3,6,5,9,0,2,5,5,9,95.3,243.8026229,112.8953553
1,8,5,6,5,2,2,2,1,6,76.9,222.5971968,81.460788
1,2,2,1,10,0,2,2,1,2,91.2,402.4164668,102.9492058
1,2,5,4,8,2,2,5,5,5,70.1,205.5159355,71.52628694
2,10,2,2,7,2,2,1,0,3,57.7,138.2928694,112.8953553
2,7,5,1,5,2,2,6,2,8,39.8,209.305753,372.933205
1,3,10,3,8,2,2,5,2,7,64.4,181.6033787,106.554188
1,3,9,1,5,2,2,5,2,9,94.2,259.3415528,77.02625332
1,3,5,4,4,2,2,2,1,3,76.1,415.0243172,127.4397297
1,3,5,5,10,0,2,5,4,6,96.4,504.5082864,64.7356604
1,2,3,4,7,1,1,4,5,5,86.3,271.6682937,96.79696038
1,2,7,6,7,1,2,5,1,9,89.9,256.5943745,87.80214462
1,2,4,1,7,2,2,2,4,7,89.9,241.9406364,110.3108459
2,2,8,4,8,1,2,4,5,4,79.9,260.8400465,161.7785752
1,2,7,4,5,2,2,2,2,6,78.2,388.9270424,73.10062573
1,2,5,6,1,2,1,3,3,3,94.9,587.1728851,93.94595065
3,5,9,3,7,2,1,2,0,4,94.9,587.1728851,93.94595065
1,2,3,1,8,2,1,5,4,2,57.5,228.9152562,112.8953553
1,7,4,6,4,2,1,5,2,2,88.0,734.6394368,69.34413948
2,7,6,4,10,0,0,2,1,3,94.4,356.0865478,87.80214462
1,2,5,1,10,0,2,0,5,4,36.1,231.9022499,106.554188
2,2,5,4,7,2,2,5,0,2,83.1,478.3343071,93.94595065
2,8,9,1,7,2,2,1,0,5,39.5,247.7371591,89.33622132
2,2,4,5,9,1,2,2,5,3,79.9,260.8400465,161.7785752
1,5,14,4,8,1,2,4,3,8,87.2,180.0437419,110.3108459
1,5,10,4,8,1,2,4,0,4,75.3,303.8056881,93.94595065
1,3,6,5,8,0,2,4,5,6,84.3,209.5898145,112.8953553
2,2,11,1,5,2,2,4,1,2,76.9,287.6973546,85.64933259
2,2,3,2,4,2,2,2,5,2,20.8,191.5685459,161.7785752
1,3,4,1,7,0,1,2,2,4,87.5,271.3382244,372.933205
1,7,6,6,6,2,2,2,1,7,79.7,256.3313624,64.10579525
1,2,4,1,9,2,2,2,5,3,49.3,165.0903549,106.554188
1,3,8,2,8,0,2,2,0,7,83.7,295.4623519,78.28836493
1,3,7,4,3,2,2,3,1,3,93.4,435.3831402,82.92437534
1,2,4,2,8,0,2,5,4,5,97.6,618.8234725,73.74327005
2,2,5,5,7,1,2,2,4,10,81.7,295.710416,59.12433069
1,2,4,1,8,2,2,2,4,3,78.6,360.3948293,161.7785752
1,2,7,5,6,2,1,3,2,3,62.1,220.5507783,93.94595065
1,3,8,4,6,2,1,2,1,9,88.8,289.9662852,85.64933259
2,2,5,5,9,1,2,2,0,3,91.4,419.7221256,96.13295825
1,3,6,6,8,0,1,3,2,5,85.0,138.0746187,106.554188
1,8,6,5,4,2,2,1,1,4,63.0,457.4045969,75.01260027
1,2,6,5,8,0,2,5,5,5,88.0,238.8750429,107.0192611
2,2,6,5,6,1,2,2,4,3,94.5,358.2562765,110.3108459
2,5,12,2,9,0,2,4,0,3,78.0,249.4424465,93.94595065
1,2,4,6,7,0,2,1,1,1,82.2,539.7164986,89.33622132
1,3,4,5,6,2,1,2,1,5,89.2,340.7671215,107.0192611
1,2,2,5,9,2,1,6,3,3,88.4,432.918309,87.80214462
1,2,3,1,5,0,1,2,4,7,91.6,1192.010409,77.02625332
2,8,7,4,7,2,0,3,1,2,86.5,506.8120876,144.3589814
1,2,7,5,8,1,2,4,5,5,94.3,279.5283645,59.12433069
1,2,6,5,5,2,1,4,4,4,65.6,445.4240359,87.80214462
