Model,Train Accuracy,Validation Accuracy,Accuracy Gap,Train Macro F1,Validation Macro F1,Macro F1 Gap
XGBoost,0.8004950495049505,0.625866050808314,0.1746289986966365,0.7713719504756633,0.463280156137299,0.3080917943383643
Random Forest,0.7876237623762377,0.6351039260969977,0.15251983627923993,0.7492614569411609,0.46307804345187525,0.2861834134892856
CatBoost,0.6905940594059405,0.6027713625866051,0.08782269681933541,0.6195967980161537,0.45947909232163714,0.1601177056945166
Logistic Regression,0.5722772277227722,0.5866050808314087,-0.01432785310863649,0.45836343595472695,0.4516725474301476,0.00669088852457933
