Model,Baseline Accuracy,Improved Accuracy,Baseline Macro F1,Improved Macro F1,Baseline Balanced Accuracy,Improved Balanced Accuracy,Baseline QWK,Improved QWK,Macro F1 Change
XGBoost,0.6558891454965358,0.625866050808314,0.40164151649310975,0.463280156137299,0.40770671985468443,0.4778141173373269,0.49302480193540055,0.6003705710639935,0.06163863964418925
CatBoost,0.6674364896073903,0.6027713625866051,0.3790652718550846,0.45947909232163714,0.4025748159079844,0.47002055242157403,0.4930925855895141,0.584956679683275,0.08041382046655254
Random Forest,0.6605080831408776,0.6351039260969977,0.3658924408924409,0.46307804345187525,0.38550111659116887,0.47483601720926294,0.4888717883585234,0.5599919947413732,0.09718560255943437
Logistic Regression,0.6581986143187067,0.5866050808314087,0.3519912591074795,0.4516725474301476,0.38279918756085685,0.45755444539551665,0.4767086790545092,0.5702850793164227,0.0996812883226681
