Model,High,Low,Marginal,Very Low
CatBoost,0.734375,0.25,0.32608695652173914,0.569620253164557
Logistic Regression,0.71484375,0.28846153846153844,0.2826086956521739,0.5443037974683544
Random Forest,0.78125,0.3076923076923077,0.15217391304347827,0.6582278481012658
XGBoost,0.7578125,0.23076923076923078,0.2391304347826087,0.6835443037974683
