,Mean Class Distance,Exact Classification %,Off By One Class %,Off By Two+ Classes %
Logistic Regression,0.6374133949191686,58.66050808314087,24.480369515011546,16.859122401847575
Random Forest,0.6443418013856813,63.51039260969977,16.397228637413395,20.092378752886837
XGBoost,0.6143187066974596,62.586605080831404,19.630484988452658,17.782909930715935
CatBoost,0.6189376443418014,60.27713625866051,23.787528868360276,15.935334872979215
