lad_code,crime_rate_per_1000,food_insecurity_rate_pct,fuel_insecurity_rate_pct,mean_imd_decile,respondent_count,log_crime_rate
E09000001,633.9355852317361,40.0,60.0,7.6,5,6.4535235531673045
E09000002,96.13295824831052,58.82352941176471,41.17647058823529,2.9411764705882355,17,4.576080743537603
E09000003,71.52628693518058,47.89915966386555,42.016806722689076,6.554621848739496,119,4.283949074561243
E09000004,64.46313682120169,55.35714285714286,50.0,6.535714285714286,56,4.181487187588867
E09000005,89.33622132404018,59.79381443298969,61.855670103092784,4.061855670103093,97,4.503538502077379
E09000006,69.34413947690096,41.46341463414634,34.146341463414636,6.2073170731707314,82,4.253399474857929
E09000007,161.7785752076001,51.2396694214876,47.107438016528924,5.0,121,5.0923908429892295
E09000008,87.80214462188941,52.066115702479344,51.2396694214876,4.628099173553719,121,4.486410800853894
E09000009,81.46078799553669,44.761904761904766,50.476190476190474,5.180952380952381,105,4.412322883327404
E09000010,92.561372646033,43.54838709677419,38.70967741935484,5.161290322580645,62,4.538617612899859
E09000011,96.79696038426884,52.52525252525253,44.44444444444444,4.393939393939394,99,4.582893496642329
E09000012,121.66707436399216,51.9607843137255,50.98039215686274,2.8627450980392157,102,4.809473973114799
E09000013,113.59740385755715,51.76470588235295,48.23529411764706,4.741176470588235,85,4.741425150076017
E09000014,110.31084588034892,52.94117647058824,44.537815126050425,4.0588235294117645,119,4.712326700796616
E09000015,61.22939835759527,43.39622641509434,45.28301886792453,6.339622641509434,53,4.130827530489963
E09000016,73.74327004817229,65.625,53.125,5.46875,32,4.3140591754172295
E09000017,77.02625332106763,42.857142857142854,46.42857142857143,6.035714285714286,56,4.357045351098229
E09000018,85.64933258699376,54.6875,48.4375,4.90625,64,4.461869313731418
E09000019,127.4397296829604,47.05882352941176,45.588235294117645,3.6323529411764706,136,4.855459764601848
E09000020,144.35898136510193,51.42857142857142,51.42857142857142,4.885714285714286,35,4.979206416393453
E09000021,73.1006257318934,64.0,48.0,6.92,50,4.305423976691399
E09000022,107.01926113040732,49.29577464788733,47.88732394366197,3.8098591549295775,142,4.682309555022923
E09000023,93.94595064593692,54.347826086956516,51.449275362318836,3.7246376811594204,138,4.553307789123356
E09000024,64.73566039577726,34.883720930232556,34.883720930232556,7.093023255813954,86,4.185641554432283
E09000025,102.94920578921284,55.294117647058826,52.94117647058824,3.152941176470588,85,4.643902373959421
E09000026,78.28836492624754,40.35087719298245,50.877192982456144,6.456140350877193,57,4.373091395634522
E09000027,59.12433069454052,33.33333333333333,33.33333333333333,8.333333333333334,60,4.096414596464431
E09000028,112.89535525791996,40.98360655737705,40.16393442622951,3.8442622950819674,122,4.735280090498906
E09000029,64.10579524758313,60.71428571428571,52.38095238095239,6.642857142857143,84,4.176013565952618
E09000030,106.55418799829552,53.48837209302325,51.74418604651163,3.7848837209302326,172,4.677994794967642
E09000031,82.92437534381423,48.54368932038835,46.601941747572816,3.8932038834951457,103,4.429916099809674
E09000032,75.0126002708299,42.44604316546763,43.884892086330936,5.9496402877697845,139,4.33089911958142
E09000033,372.93320499747455,64.63414634146342,50.0,5.170731707317073,82,5.924077185200883
